,OS: Windows 11 | Browser: Microsoft Edge 122 | Resolution: 2560x1392 | Time: 7 May 2025 / 14:34:38  GMT+7

"#","Step","Data","Exp Result","XPath","cssSelector"
"1","Open website Firefox","https://10.137.16.128:10043/login","","",""
"2","Enter ""pornpita"" into ""ชื่อผู้ใช้งาน""","pornpita","","//input[@id='input-username']","#input-username"
"3","Enter ""******"" into ""รหัสผ่าน""","******","","//input[@id='input-password']","#input-password"
"4","Click on ""LOG IN""","","","//input[@id='btn-login']","#btn-login"
"X","Wait complete","","","",""
"5","Click on ""btn-toggle-side-menu""","","","//div[@id='btn-toggle-side-menu']","#btn-toggle-side-menu"
"6","Click on ""Budget System""","","","//a[@id='menu-1069']","#menu-1069"
"7","Click on ""Master Maintain""","","","//a[@id='menu-1013']","#menu-1013"
"8","Click on ""Master Lov""","","","//a[@id='menu-1014']","#menu-1014"
"X","Wait complete","","","",""
"X","Wait visible","","","//body//ais-mynetwork-root//budget-balloon-hamburger//div[3]",""
"9","Click on ""Add importUpdate import""","","","//body//ais-mynetwork-root//budget-balloon-hamburger//div[3]","body > ais-mynetwork-root:nth-child(4) > ais-mynetwork-main:nth-child(2) > div:nth-child(1) > div:nth-child(3) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > app-search-lov:nth-child(2) > budget-balloon-hamburger:nth-child(7) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(3)"
"X","Wait visible","","","//a[@id='add_navItem']",""
"10","Click on ""Add import""","","","//a[@id='add_navItem']","svg[fill='#000000']"
"X","Wait complete","","","",""
"X","Wait visible","","","//*[@id='importMasterLov']",""
"11","Choose File","C:\Users\pongss49\Downloads\MST_LOV_2025050715135.xlsx","","css=input.input-file-upload","input[type='file']"
"X","Wait enabled","","","//button[span[text()='Upload']]",""
"12","Click on ""Upload""","","","//button[span[text()='Upload']]",""
